0
multiple
"Nyeri growing region, Kenya"
"Apaneca-Ilamatepec growing region, El Salvador"
"Tarrazú growing region, Costa Rica"
"West Valley growing region, Costa Rica"
"Kona growing region, Big Island, Hawaii"
"Cauca Department, Colombia"
"Western Highlands, Papua New Guinea"
"Antioquia Department, Colombia"
""
"Yirgacheffe growing region, Gedeo Zone, Ethiopia"
"Cajamarca growing region, Peru"
"Guji growing region, Oromia Region, Ethiopia"
"Central Valley growing region, Costa Rica"
"El Bálsamo-Quetzaltepec growing region, El Salvador"
"Huila Department, Colombia"
"Sidama growing region, Oromia Region, Ethiopia"
"Kirinyaga growing region, Kenya"
Burundi
"Quindio Department, Colombia"
"Antigua growing region, Guatemala"
"Meru growing region, Kenya"
"Boquete growing region, Panama"
"Embu growing region, Kenya"
"Ngororero District, Western Province, Rwanda"
"Huehuetenango growing region, Guatemala"
"Ka'u growing region, Big Island, Hawaii"
"Tolima Department, Colombia"
"Chiapas, Mexico"
"Fraijanes growing region, Guatemala"
"Jinotega, Nicaragua"
"Machakos growing region, Kenya"
"Chalatenango Department, El Salvador"
"Karnataka State, India"
"Bench Sheko Zone, SNNPR Region, Ethiopia"
"Hualien County, Taiwan"
"Turrialba growing region, Costa Rica"
"Acatenango growing region, Guatemala"
"Coban growing region, Guatemala"
"Santa Barbara Department, Honduras"
"Lake Atitlan growing region, Guatemala"
"Lintong growing region, Sumatra, Indonesia"
"Loja Province, Ecuador"
"Cusco growing region, Peru"
"San Marcos growing region, Guatemala"
"Caldas Department, Colombia"
"Brunca growing region, Costa Rica"
"Chiang Rai Province, Northern growing region, Thailand"
"Mogiana growing region, Sao Paulo State, Brazil"
"Bugisu Region, Uganda"
"Nan Province, Northern growing region, Thailand"
"Zamora Chinchipe Province, Ecuador"
"Kiambu growing region, Kenya"
Ethiopia
"Gakenke District, Northern Province, Rwanda"
"Copan growing region, Honduras"
Colombia
"Aceh growing region, Sumatra, Indonesia"
"Kivu growing region, Democratic Republic of the Congo"
"Sul de Minas growing region, Minas Gerais State, Brazil"
"Santa Elena Province, Ecuador"
"Nantou County, Taiwan"
"Veracruz, Mexico"
"Piura growing region, Peru"
Puerto Rico
"Marcala growing region, Honduras"
"Yunnan Province, China"
"Ruvuma growing region, Tanzania"
"Jimma growing region, Oromia Region, Ethiopia"
Panama
"Mindanao, The Philippines"
"Napo Province, Ecuador"
"Keffa Zone, Ethiopia"
"Java, Indonesia"
"Narino Department, Colombia"
"Al Haymah region, Sana'a Governorate, Yemen"
"Kilimanjaro growing region, Tanzania"
"Sumatra, Indonesia"
"Lake Toba growing region, Sumatra, Indonesia"
"Chimaltenango Department, Guatemala"
"Imbabura Province, Ecuador"
"Bali, Indonesia"
"Huye District, Southern Province, Rwanda"
Rwanda
"Sana'a Governorate, Yemen"
"Chimborazo Province, Ecuador"
"Nakuru growing region, Kenya"
"Nyamasheke District, Western Province, Rwanda"
"Alishan, Chiayi County, Taiwan"
Guatemala
Tanzania
"Cordillera Administrative Region, The Philippines"
"Eastern Highlands, Papua New Guinea"
"Valle del Cauca, Colombia"
"El Paraiso growing region, Honduras"
"Comayagua growing region, Honduras"
"Matagalpa, Nicaragua"
"Caranavi Province, Yungas growing region, Bolivia"
El Salvador
"Oaxaca, Mexico"
"Chiriqui Province, Panama"
"Renacimiento growing region, Panama"
"Volcan-Candela growing region, Panama"
"Santander Department, Colombia"
"Montecillo growing region, Honduras"
"Opalaca growing region, Honduras"
"Central Highlands growing region, Vietnam"
"Muhanga District, Southern Province, Rwanda"
"Nayarit, Mexico"
"Guerrero, Mexico"
Haiti
"Western Province, Rwanda"
"Pingtung County, Taiwan"
"Mbeya growing region, Tanzania"
"Northern Province, Zambia"
"Sabah State, Malaysia"
"Pacaybamba growing region, Peru"
"Chapada Diamantina growing region, Bahia State, Brazil"
"Haraz growing region, Yemen"
"Montanhas de Minas growing region, Minas Gerais State, Brazil"
"Cerrado growing region, Minas Gerais State, Brazil"
"Minas Gerais State, Brazil"
"Toraja growing region, Sulawesi, Indonesia"
"Amazonas growing region, Peru"
"Maunawili growing region, Oahu, Hawaii"
"Junin growing region, Peru"
"Pasco growing region, Peru"
Kenya
