Rating,Roaster,Coffee_Name,Review_Date,Review_Description,Complete_Review_URL,Roaster_Website_URL,Roaster Location,Coffee Origin,Roast Level,Aroma,Acidity/Structure,Acidity,Body,Flavor,Aftertaste,Agtron,Blind Assessment,Notes,Bottom Line,url,Price
90,Regent Coffee,Mexico Chiapas Kulatik,Jun 2023,"Roasty-sweet, crisply chocolaty. Baking chocolate, roasted almond, gently scorched oak, shortbread cookie, narcissus in aroma and cup. Gentle, round acidity; full, creamy mouthfeel. Finish consolidates to notes of baking chocolate, scorched oak, and almond.",https://www.coffeereview.com/review/mexico-chiapas-kulatik/,https://bit.ly/3vqsQg7,"Glendale, California","Tenejapa, Central Highlands, Chiapas, Mexico",Medium,8,8,,8						,8,8,44/60,"Roasty-sweet, crisply chocolaty. Baking chocolate, roasted almond, gently scorched oak, shortbread cookie, narcissus in aroma and cup. Gentle, round acidity; full, creamy mouthfeel. Finish consolidates to notes of baking chocolate, scorched oak, and almond.","Produced by smallholding members of the Kulatik Cooperative, from trees of the Typica, Bourbon and Caturra varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Regent strives to deliver coffee with care and purpose. Visit regentcoffee.com for more information.","A deep-toned Chiapas cup with a throughline of crisp chocolate and almond, roast-rounded and sweet.",https://www.coffeereview.com/review/mexico-chiapas-kulatik/,$19.50/12 ounces
90,Regent Coffee,Mexico Chiapas Kulatik,Jun 2023,"Roasty-sweet, crisply chocolaty. Baking chocolate, roasted almond, gently scorched oak, shortbread cookie, narcissus in aroma and cup. Gentle, round acidity; full, creamy mouthfeel. Finish consolidates to notes of baking chocolate, scorched oak, and almond.",https://www.coffeereview.com/review/mexico-chiapas-kulatik/,https://bit.ly/3vqsQg7,"Glendale, California","Tenejapa, Central Highlands, Chiapas, Mexico",Medium,8,8,,8						,8,8,44/60,"Roasty-sweet, crisply chocolaty. Baking chocolate, roasted almond, gently scorched oak, shortbread cookie, narcissus in aroma and cup. Gentle, round acidity; full, creamy mouthfeel. Finish consolidates to notes of baking chocolate, scorched oak, and almond.","Produced by smallholding members of the Kulatik Cooperative, from trees of the Typica, Bourbon and Caturra varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Regent strives to deliver coffee with care and purpose. Visit regentcoffee.com for more information.","A deep-toned Chiapas cup with a throughline of crisp chocolate and almond, roast-rounded and sweet.",https://www.coffeereview.com/review/mexico-chiapas-kulatik/,$19.50/12 ounces
90,Regent Coffee,Mexico Chiapas Kulatik,Jun 2023,"Roasty-sweet, crisply chocolaty. Baking chocolate, roasted almond, gently scorched oak, shortbread cookie, narcissus in aroma and cup. Gentle, round acidity; full, creamy mouthfeel. Finish consolidates to notes of baking chocolate, scorched oak, and almond.",https://www.coffeereview.com/review/mexico-chiapas-kulatik/,https://bit.ly/3vqsQg7,"Glendale, California","Tenejapa, Central Highlands, Chiapas, Mexico",Medium,8,8,,8						,8,8,44/60,"Roasty-sweet, crisply chocolaty. Baking chocolate, roasted almond, gently scorched oak, shortbread cookie, narcissus in aroma and cup. Gentle, round acidity; full, creamy mouthfeel. Finish consolidates to notes of baking chocolate, scorched oak, and almond.","Produced by smallholding members of the Kulatik Cooperative, from trees of the Typica, Bourbon and Caturra varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Regent strives to deliver coffee with care and purpose. Visit regentcoffee.com for more information.","A deep-toned Chiapas cup with a throughline of crisp chocolate and almond, roast-rounded and sweet.",https://www.coffeereview.com/review/mexico-chiapas-kulatik/,$19.50/12 ounces
90,Regent Coffee,Mexico Chiapas Kulatik,Jun 2023,"Roasty-sweet, crisply chocolaty. Baking chocolate, roasted almond, gently scorched oak, shortbread cookie, narcissus in aroma and cup. Gentle, round acidity; full, creamy mouthfeel. Finish consolidates to notes of baking chocolate, scorched oak, and almond.",https://www.coffeereview.com/review/mexico-chiapas-kulatik/,https://bit.ly/3vqsQg7,"Glendale, California","Tenejapa, Central Highlands, Chiapas, Mexico",Medium,8,8,,8						,8,8,44/60,"Roasty-sweet, crisply chocolaty. Baking chocolate, roasted almond, gently scorched oak, shortbread cookie, narcissus in aroma and cup. Gentle, round acidity; full, creamy mouthfeel. Finish consolidates to notes of baking chocolate, scorched oak, and almond.","Produced by smallholding members of the Kulatik Cooperative, from trees of the Typica, Bourbon and Caturra varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Regent strives to deliver coffee with care and purpose. Visit regentcoffee.com for more information.","A deep-toned Chiapas cup with a throughline of crisp chocolate and almond, roast-rounded and sweet.",https://www.coffeereview.com/review/mexico-chiapas-kulatik/,$19.50/12 ounces
96,JBC Coffee Roasters,La Papaya Ecuador Geisha Natural,Jun 2023,"High-toned, lush, complexly fruity. Lychee, starfruit, wisteria, lemon thyme, cocoa nib in aroma and cup. Juicy-sweet with elegant, balanced acidity; lyrically silky mouthfeel. Notes of lychee, wisteria and cocoa nib carry far into a long, lingering finish. ",https://www.coffeereview.com/review/la-papaya-ecuador-geisha-natural/,https://www.jbccoffeeroasters.com/product-category/coffee/,"Madison, Wisconsin","Saraguro, Loja growing region, Ecuador",Medium-Light,9,9,,9						,10,9,59/75,"High-toned, lush, complexly fruity. Lychee, starfruit, wisteria, lemon thyme, cocoa nib in aroma and cup. Juicy-sweet with elegant, balanced acidity; lyrically silky mouthfeel. Notes of lychee, wisteria and cocoa nib carry far into a long, lingering finish. ","Produced by Juan Peña of Finca La Papaya, entirely of the Geisha variety of Arabica, and processed by the natural method (dried in the whole fruit). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit jbccoffeeroasters.com or call 608-256-5282 for more information","A fine example of what a Geisha natural from Ecuador can achieve: stunning aromatics, lush complexity throughout the profile, and fruit-forward with finesse.",https://www.coffeereview.com/review/la-papaya-ecuador-geisha-natural/,$29.00/12 ounces
96,JBC Coffee Roasters,La Papaya Ecuador Geisha Natural,Jun 2023,"High-toned, lush, complexly fruity. Lychee, starfruit, wisteria, lemon thyme, cocoa nib in aroma and cup. Juicy-sweet with elegant, balanced acidity; lyrically silky mouthfeel. Notes of lychee, wisteria and cocoa nib carry far into a long, lingering finish. ",https://www.coffeereview.com/review/la-papaya-ecuador-geisha-natural/,https://www.jbccoffeeroasters.com/product-category/coffee/,"Madison, Wisconsin","Saraguro, Loja growing region, Ecuador",Medium-Light,9,9,,9						,10,9,59/75,"High-toned, lush, complexly fruity. Lychee, starfruit, wisteria, lemon thyme, cocoa nib in aroma and cup. Juicy-sweet with elegant, balanced acidity; lyrically silky mouthfeel. Notes of lychee, wisteria and cocoa nib carry far into a long, lingering finish. ","Produced by Juan Peña of Finca La Papaya, entirely of the Geisha variety of Arabica, and processed by the natural method (dried in the whole fruit). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit jbccoffeeroasters.com or call 608-256-5282 for more information","A fine example of what a Geisha natural from Ecuador can achieve: stunning aromatics, lush complexity throughout the profile, and fruit-forward with finesse.",https://www.coffeereview.com/review/la-papaya-ecuador-geisha-natural/,$29.00/12 ounces
96,JBC Coffee Roasters,La Papaya Ecuador Geisha Natural,Jun 2023,"High-toned, lush, complexly fruity. Lychee, starfruit, wisteria, lemon thyme, cocoa nib in aroma and cup. Juicy-sweet with elegant, balanced acidity; lyrically silky mouthfeel. Notes of lychee, wisteria and cocoa nib carry far into a long, lingering finish. ",https://www.coffeereview.com/review/la-papaya-ecuador-geisha-natural/,https://www.jbccoffeeroasters.com/product-category/coffee/,"Madison, Wisconsin","Saraguro, Loja growing region, Ecuador",Medium-Light,9,9,,9						,10,9,59/75,"High-toned, lush, complexly fruity. Lychee, starfruit, wisteria, lemon thyme, cocoa nib in aroma and cup. Juicy-sweet with elegant, balanced acidity; lyrically silky mouthfeel. Notes of lychee, wisteria and cocoa nib carry far into a long, lingering finish. ","Produced by Juan Peña of Finca La Papaya, entirely of the Geisha variety of Arabica, and processed by the natural method (dried in the whole fruit). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit jbccoffeeroasters.com or call 608-256-5282 for more information","A fine example of what a Geisha natural from Ecuador can achieve: stunning aromatics, lush complexity throughout the profile, and fruit-forward with finesse.",https://www.coffeereview.com/review/la-papaya-ecuador-geisha-natural/,$29.00/12 ounces
96,JBC Coffee Roasters,La Papaya Ecuador Geisha Natural,Jun 2023,"High-toned, lush, complexly fruity. Lychee, starfruit, wisteria, lemon thyme, cocoa nib in aroma and cup. Juicy-sweet with elegant, balanced acidity; lyrically silky mouthfeel. Notes of lychee, wisteria and cocoa nib carry far into a long, lingering finish. ",https://www.coffeereview.com/review/la-papaya-ecuador-geisha-natural/,https://www.jbccoffeeroasters.com/product-category/coffee/,"Madison, Wisconsin","Saraguro, Loja growing region, Ecuador",Medium-Light,9,9,,9						,10,9,59/75,"High-toned, lush, complexly fruity. Lychee, starfruit, wisteria, lemon thyme, cocoa nib in aroma and cup. Juicy-sweet with elegant, balanced acidity; lyrically silky mouthfeel. Notes of lychee, wisteria and cocoa nib carry far into a long, lingering finish. ","Produced by Juan Peña of Finca La Papaya, entirely of the Geisha variety of Arabica, and processed by the natural method (dried in the whole fruit). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit jbccoffeeroasters.com or call 608-256-5282 for more information","A fine example of what a Geisha natural from Ecuador can achieve: stunning aromatics, lush complexity throughout the profile, and fruit-forward with finesse.",https://www.coffeereview.com/review/la-papaya-ecuador-geisha-natural/,$29.00/12 ounces
93,Paradise Roasters,Espresso Classico,Jun 2023,"Evaluated as espresso. Sweetly tart, richly bright. Pomegranate, dark chocolate, narcissus, tangerine zest, brown sugar in aroma and cup. Crisp, satiny mouthfeel, chocolaty, fruit-tart finish. In cappuccino-scaled milk, pomegranate and dark chocolate notes are juxtaposed with narcissus.",https://www.coffeereview.com/review/espresso-classico-9/,https://paradiseroasters.com/,"Hilo, Big Island of Hawai’i",Brazil; Thailand; Nicaragua; Ecuador,Medium,9,,,8						,9,8,52/64,"Evaluated as espresso. Sweetly tart, richly bright. Pomegranate, dark chocolate, narcissus, tangerine zest, brown sugar in aroma and cup. Crisp, satiny mouthfeel, chocolaty, fruit-tart finish. In cappuccino-scaled milk, pomegranate and dark chocolate notes are juxtaposed with narcissus.","A blend of Arabica coffees from Brazil, Thailand, and Nicaragua, and a Robusta from Ecuador, roasted for espresso applications. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit paradiseroasters.com or call 763-433-0626 for more information. ","A trifecta of tart fruit, deep chocolate and spicy floral notes, this espresso blend offers further intrigue with its successful inclusion of a Robusta component. Especially rich in cappuccino format.",https://www.coffeereview.com/review/espresso-classico-9/,$19.00/12 ounces
93,Paradise Roasters,Espresso Classico,Jun 2023,"Evaluated as espresso. Sweetly tart, richly bright. Pomegranate, dark chocolate, narcissus, tangerine zest, brown sugar in aroma and cup. Crisp, satiny mouthfeel, chocolaty, fruit-tart finish. In cappuccino-scaled milk, pomegranate and dark chocolate notes are juxtaposed with narcissus.",https://www.coffeereview.com/review/espresso-classico-9/,https://paradiseroasters.com/,"Hilo, Big Island of Hawai’i",Brazil; Thailand; Nicaragua; Ecuador,Medium,9,,,8						,9,8,52/64,"Evaluated as espresso. Sweetly tart, richly bright. Pomegranate, dark chocolate, narcissus, tangerine zest, brown sugar in aroma and cup. Crisp, satiny mouthfeel, chocolaty, fruit-tart finish. In cappuccino-scaled milk, pomegranate and dark chocolate notes are juxtaposed with narcissus.","A blend of Arabica coffees from Brazil, Thailand, and Nicaragua, and a Robusta from Ecuador, roasted for espresso applications. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit paradiseroasters.com or call 763-433-0626 for more information. ","A trifecta of tart fruit, deep chocolate and spicy floral notes, this espresso blend offers further intrigue with its successful inclusion of a Robusta component. Especially rich in cappuccino format.",https://www.coffeereview.com/review/espresso-classico-9/,$19.00/12 ounces
