Rating,Roaster,Coffee_Name,Review_Date,Review_Description,Complete_Review_URL,Roaster_Website_URL
94,JBC Coffee Roasters,Wilton Benitez Sidra,Aug 2023,"Delicately fruity, richly floral-toned. Froot Loops cereal, crimson lily, cocoa nib, tangerine zest, bay leaf in aroma and cup. Delicate juicy acidity; silky-smooth mouthfeel. Lily and cocoa nib support a crisply fruity finish.",https://www.coffeereview.com/review/wilton-benitez-sidra/,https://www.jbccoffeeroasters.com/product-category/coffee/
93,JBC Coffee Roasters,Twisted V.8 Espresso,Aug 2023,"Evaluated as espresso. Chocolaty, fruity, nutty. Dark chocolate, hazelnut butter, pomegranate, marjoram, cedar in aroma and small cup. Crisply satiny mouthfeel; richly chocolaty, nut-toned finish. In three parts milk, a trifecta of dark chocolate, hazelnut and pomegranate resonate in balanced harmony.",https://www.coffeereview.com/review/twisted-v-8-espresso/,https://www.jbccoffeeroasters.com/product-category/coffee/
92,JBC Coffee Roasters,Piura Peru,Aug 2023,"Sweetly chocolaty and nut-toned. Baking chocolate, almond brittle, gardenia, cherry soda, cedar in aroma and cup. Gentle, round acidity; full, creamy mouthfeel. Chocolaty, almondy finish.",https://www.coffeereview.com/review/piura-peru/,https://www.jbccoffeeroasters.com/product-category/coffee/
95,Euphora Coffee,Panama Hacienda La Esmeralda Geisha Natural,Aug 2023,"Richly fruity, deeply chocolaty. Dark chocolate, dried peach, honeysuckle, maple syrup, marjoram in aroma and cup. Richly sweet structure with fruit-toned acidity; plush, syrupy-smooth mouthfeel. The long, resonant finish centers around notes of dark chocolate and honeysuckle.",https://www.coffeereview.com/review/panama-hacienda-la-esmeralda-geisha-natural/,https://www.euphoracoffeestudio.com/categories/coffee-review
95,Euphora Coffee,Panama Hacienda La Esmeralda Geisha Washed,Aug 2023,"High-toned, juicy-sweet. Lemongrass, cocoa nib, magnolia, amber, bergamot in aroma and cup. Brightly sweet structure with juicy, sparkling acidity; very full, syrupy mouthfeel. The resonant finish leads with notes of lemongrass and cocoa nib, supported by sweet magnolia.",https://www.coffeereview.com/review/panama-hacienda-la-esmeralda-geisha-washed-2/,https://www.euphoracoffeestudio.com/categories/coffee-review
96,Rusty's Hawaiian,Grand Champion Red Bourbon Natural,Aug 2023,"Delicately fruit-forward, richly aromatic. Lychee, tangerine, wild honey, tarragon, sandalwood in aroma and cup. Sweet, gently tart acidity; plush, syrupy-smooth mouthfeel. Integrated, long, flavor-saturated finish. ",https://www.coffeereview.com/review/grand-champion-red-bourbon-natural/,
95,Speckled Ax,Sumatra Lintong Kardon,Aug 2023,"Richly earthy, deeply spice-toned. Graphite, pink peppercorn, guava, fresh-cut cedar, lemon verbena in aroma and cup. Crisply sweet-savory with gently bright acidity; very full, satiny mouthfeel. Pleasing savory-leaning finish centered around graphite and pink peppercorn with undertones of sweet-tart guava. ",https://www.coffeereview.com/review/sumatra-lintong-kardon/,
94,GK Coffee,Panama Finca Don Julian Geisha Washed,Aug 2023,"Brightly sweet, floral-toned. Narcissus, pink grapefruit, apricot, almond butter, bay leaf in aroma and cup. High-toned acidity; very smooth, silky mouthfeel. The resonant finish amplifies narcissus and almond.",https://www.coffeereview.com/review/panama-finca-don-julian-geisha-washed/,https://www.gkcoffee.com.tw
93,Barrington Coffee Roasting Co.,Guatemala Diamante Perez,Aug 2023,"Richly chocolaty, boldly structured. Dark chocolate, pomegranate, fresh-cut oak, agave syrup, oregano in aroma and cup. Sweet-tart with a dry, tannic structure and gently bright acidity; crisp, satiny mouthfeel. The harmonious finish consolidates to dark chocolate and oregano.",https://www.coffeereview.com/review/guatemala-diamante-perez/,https://barringtoncoffee.com
93,Kakalove Cafe,Taiwan Nantou Yuchi Kanon Estate SL34 Natural,Aug 2023,"Richly sweet-savory. Salted caramel, tamarind, hazelnut, freesia, green peppercorn in aroma and cup. Briskly sweet acidity; plush, syrupy-smooth mouthfeel. The lingering finish leads with salted caramel and tamarind.",https://www.coffeereview.com/review/taiwan-nantou-yuchi-kanon-estate-sl34-natural/,http://www.kakalovecafe.com.tw/
