,Rating,Roaster,Coffee_Name,Review_Date,Review_Description,Complete_Review_URL,Roaster_Website_URL,Roaster_Location,Origin,Roast_Level,Aroma,Acidity,Body,Flavor,Aftertaste,Blind_Assessment,Notes,Bottom_Line,Price,url,Agtron_External,Agtron_Ground,Currency,Quantity,Unit,Price_USD
0,94,JBC Coffee Roasters,Wilton Benitez Sidra,2023-08-01,"Delicately fruity, richly floral-toned. Froot Loops cereal, crimson lily, cocoa nib, tangerine zest, bay leaf in aroma and cup. Delicate juicy acidity; silky-smooth mouthfeel. Lily and cocoa nib support a crisply fruity finish.",https://www.coffeereview.com/review/wilton-benitez-sidra/,https://www.jbccoffeeroasters.com/product-category/coffee/,"Madison, Wisconsin","Piendamó, Cauca Department, Colombia",Medium-Light,9,9,9,9,8,"Delicately fruity, richly floral-toned. Froot Loops cereal, crimson lily, cocoa nib, tangerine zest, bay leaf in aroma and cup. Delicate juicy acidity; silky-smooth mouthfeel. Lily and cocoa nib support a crisply fruity finish.","Produced by Wilton Benitez, entirely of the Sidra variety of Arabica, and processed by the anaerobic natural method, with the fermentation of the whole fruit preceded by sterilization with ozone gas and ultraviolet light and with yeasts added to the fermentation. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","A complex, deep-toned, very fruit-forward anaerobic natural Colombia Sidra redolent of Froot Loops cereal with a side of hot cocoa.",22.0,https://www.coffeereview.com/review/wilton-benitez-sidra/,58,74,USD,226.796,grams,22.0
1,92,JBC Coffee Roasters,Piura Peru,2023-08-01,"Sweetly chocolaty and nut-toned. Baking chocolate, almond brittle, gardenia, cherry soda, cedar in aroma and cup. Gentle, round acidity; full, creamy mouthfeel. Chocolaty, almondy finish.",https://www.coffeereview.com/review/piura-peru/,https://www.jbccoffeeroasters.com/product-category/coffee/,"Madison, Wisconsin","El Faique, Piura Department, Peru",Medium-Light,8,8,9,9,8,"Sweetly chocolaty and nut-toned. Baking chocolate, almond brittle, gardenia, cherry soda, cedar in aroma and cup. Gentle, round acidity; full, creamy mouthfeel. Chocolaty, almondy finish.","Produced by smallholding farmers who work directly with Origin Coffee Labs in Piura, Peru, and processed by the traditional washed method (fruit skin and pulp removed before drying). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","A confident, deep-toned Peru with a chocolate-nut throughline and especially creamy body.",18.0,https://www.coffeereview.com/review/piura-peru/,56,74,USD,340.19399999999996,grams,18.0
2,95,Euphora Coffee,Panama Hacienda La Esmeralda Geisha Natural,2023-08-01,"Richly fruity, deeply chocolaty. Dark chocolate, dried peach, honeysuckle, maple syrup, marjoram in aroma and cup. Richly sweet structure with fruit-toned acidity; plush, syrupy-smooth mouthfeel. The long, resonant finish centers around notes of dark chocolate and honeysuckle.",https://www.coffeereview.com/review/panama-hacienda-la-esmeralda-geisha-natural/,https://www.euphoracoffeestudio.com/categories/coffee-review,"Taipei, Taiwan","Boquete growing region, western Panama",Medium-Light,9,9,9,10,8,"Richly fruity, deeply chocolaty. Dark chocolate, dried peach, honeysuckle, maple syrup, marjoram in aroma and cup. Richly sweet structure with fruit-toned acidity; plush, syrupy-smooth mouthfeel. The long, resonant finish centers around notes of dark chocolate and honeysuckle.","Produced at Hacienda La Esmeralda, entirely of the Geisha variety of Arabica, and processed by the natural method (dried in the whole fruit). Euphora Coffee is a Taipei-based specialty coffee roaster with an active online community through which all sales are made. Visit www.euphoracoffeestudio.com for more information.","Fruit, chocolate and floral notes converge in this lyrically fruit-forward, harmoniously balanced natural Panama Geisha.",22.0,https://www.coffeereview.com/review/panama-hacienda-la-esmeralda-geisha-natural/,60,77,USD,113.398,grams,22.0
3,95,Euphora Coffee,Panama Hacienda La Esmeralda Geisha Washed,2023-08-01,"High-toned, juicy-sweet. Lemongrass, cocoa nib, magnolia, amber, bergamot in aroma and cup. Brightly sweet structure with juicy, sparkling acidity; very full, syrupy mouthfeel. The resonant finish leads with notes of lemongrass and cocoa nib, supported by sweet magnolia.",https://www.coffeereview.com/review/panama-hacienda-la-esmeralda-geisha-washed-2/,https://www.euphoracoffeestudio.com/categories/coffee-review,"Taipei, Taiwan","Boquete growing region, western Panama",Light,9,9,9,9,9,"High-toned, juicy-sweet. Lemongrass, cocoa nib, magnolia, amber, bergamot in aroma and cup. Brightly sweet structure with juicy, sparkling acidity; very full, syrupy mouthfeel. The resonant finish leads with notes of lemongrass and cocoa nib, supported by sweet magnolia.","Produced at Hacienda La Esmeralda, entirely of the Geisha variety of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed before beans are dried). Euphora Coffee is a Taipei-based specialty coffee roaster with an active online community through which all sales are made. Visit www.euphoracoffeestudio.com for more information.","Elegantly spice-toned, richly floral, complex — a classic washed Panama Geisha cup.",20.0,https://www.coffeereview.com/review/panama-hacienda-la-esmeralda-geisha-washed-2/,64,78,USD,113.398,grams,20.0
4,96,Rusty's Hawaiian,Grand Champion Red Bourbon Natural,2023-08-01,"Delicately fruit-forward, richly aromatic. Lychee, tangerine, wild honey, tarragon, sandalwood in aroma and cup. Sweet, gently tart acidity; plush, syrupy-smooth mouthfeel. Integrated, long, flavor-saturated finish.",https://www.coffeereview.com/review/grand-champion-red-bourbon-natural/,,"Pahala, Hawaii","Ka'u growing district, Big Island of Hawai’i",Medium-Light,9,9,9,10,9,"Delicately fruit-forward, richly aromatic. Lychee, tangerine, wild honey, tarragon, sandalwood in aroma and cup. Sweet, gently tart acidity; plush, syrupy-smooth mouthfeel. Integrated, long, flavor-saturated finish.","This 100% Ka’u coffee was developed by Lorie Obra of Rusty’s, one of Ka’u’s best-known and most celebrated farms. Produced from trees of the Red Bourbon variety of Arabica and processed by the natural method (dried in the whole fruit). Visit www.rustyshawaiian.com or call 808-928-8916 for more information.","This decadently sweet, elegantly tart, complex natural-processed Hawai’i Ka’u is an exercise in balance and a nuanced flavor journey.",35.0,https://www.coffeereview.com/review/grand-champion-red-bourbon-natural/,52,72,USD,113.398,grams,35.0
5,95,Speckled Ax,Sumatra Lintong Kardon,2023-08-01,"Richly earthy, deeply spice-toned. Graphite, pink peppercorn, guava, fresh-cut cedar, lemon verbena in aroma and cup. Crisply sweet-savory with gently bright acidity; very full, satiny mouthfeel. Pleasing savory-leaning finish centered around graphite and pink peppercorn with undertones of sweet-tart guava.",https://www.coffeereview.com/review/sumatra-lintong-kardon/,,"Portland, Maine","Lintong growing region, North Sumatra Province, Indonesia",Medium-Light,9,9,9,9,9,"Richly earthy, deeply spice-toned. Graphite, pink peppercorn, guava, fresh-cut cedar, lemon verbena in aroma and cup. Crisply sweet-savory with gently bright acidity; very full, satiny mouthfeel. Pleasing savory-leaning finish centered around graphite and pink peppercorn with undertones of sweet-tart guava.","Produced by 200 widows with support and training from husband-wife team Kardon and Yulinda, from trees of the Andungsari, LiniS795 and Sigararutang varieties of Arabica. Coffees like this one from the northern part of the Indonesian island of Sumatra are valued for their complex earth and fruit notes that appear to result largely from unorthodox fruit removal and drying practices called “wet-hulling.” Speckled Ax is a roaster based in Portland, Maine, specializing in high-quality certified organic and small-lot coffees. The company roasts in a vintage wood-fired Petroncini roaster with the goal of highlighting each coffee’s best attributes. Visit www.speckledax.com for more information.","A classic Sumatra cup that highlights the origin’s potential for depth and complexity, with a distinct throughline that evokes fresh earth just after a rain.",21.0,https://www.coffeereview.com/review/sumatra-lintong-kardon/,56,74,USD,340.19399999999996,grams,21.0
6,94,GK Coffee,Panama Finca Don Julian Geisha Washed,2023-08-01,"Brightly sweet, floral-toned. Narcissus, pink grapefruit, apricot, almond butter, bay leaf in aroma and cup. High-toned acidity; very smooth, silky mouthfeel. The resonant finish amplifies narcissus and almond.",https://www.coffeereview.com/review/panama-finca-don-julian-geisha-washed/,https://www.gkcoffee.com.tw,"Yilan, Taiwan","Boquete, Panama",Light,9,9,9,9,8,"Brightly sweet, floral-toned. Narcissus, pink grapefruit, apricot, almond butter, bay leaf in aroma and cup. High-toned acidity; very smooth, silky mouthfeel. The resonant finish amplifies narcissus and almond.","Produced by Heakyung Kang Burneskis of Finca Don Julian, entirely of the Geisha variety of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). GK Coffee is a nano-roastery in Yilan, Taiwan, that offers both retail and wholesale coffee. For more information, visit www.gkcoffee.com.tw or email [email protected].","A multi-layered Panama Geisha that leads with spicy-sweet floral notes atop stone fruit, rich nut, citrus and sweet herb.",1200.0,https://www.coffeereview.com/review/panama-finca-don-julian-geisha-washed/,65,81,TWD,100.0,grams,36.0
7,93,Barrington Coffee Roasting Co.,Guatemala Diamante Perez,2023-08-01,"Richly chocolaty, boldly structured. Dark chocolate, pomegranate, fresh-cut oak, agave syrup, oregano in aroma and cup. Sweet-tart with a dry, tannic structure and gently bright acidity; crisp, satiny mouthfeel. The harmonious finish consolidates to dark chocolate and oregano.",https://www.coffeereview.com/review/guatemala-diamante-perez/,https://barringtoncoffee.com,"Lee, Massachusetts","Agua Dulce, Huehuetenango Department, Guatemala",Light,9,9,8,9,8,"Richly chocolaty, boldly structured. Dark chocolate, pomegranate, fresh-cut oak, agave syrup, oregano in aroma and cup. Sweet-tart with a dry, tannic structure and gently bright acidity; crisp, satiny mouthfeel. The harmonious finish consolidates to dark chocolate and oregano.","Produced by Patricia Perez Diaz, from trees of the Red Bourbon and Caturra varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Barrington Coffee is an artisan roaster dedicated to elite coffees, fresh delivery and roasting that foregrounds the coffee and not the roast. Visit www.barringtoncoffee.com or call 800-528-0998 for more information.",This chocolate-forward Guatemala cup has a tart fruit backbone with complications from enticing sweet-savory herb notes.,19.45,https://www.coffeereview.com/review/guatemala-diamante-perez/,64,78,USD,340.19399999999996,grams,19.45
8,93,Kakalove Cafe,Taiwan Nantou Yuchi Kanon Estate SL34 Natural,2023-08-01,"Richly sweet-savory. Salted caramel, tamarind, hazelnut, freesia, green peppercorn in aroma and cup. Briskly sweet acidity; plush, syrupy-smooth mouthfeel. The lingering finish leads with salted caramel and tamarind.",https://www.coffeereview.com/review/taiwan-nantou-yuchi-kanon-estate-sl34-natural/,http://www.kakalovecafe.com.tw/,"Chia-Yi, Taiwan","Nantou County, Taiwan",Medium-Light,9,8,9,9,8,"Richly sweet-savory. Salted caramel, tamarind, hazelnut, freesia, green peppercorn in aroma and cup. Briskly sweet acidity; plush, syrupy-smooth mouthfeel. The lingering finish leads with salted caramel and tamarind.","Produced by YuChin Kao of Kanon Estate, from trees of the SL34 variety of Arabica, and processed by the natural method (dried in the whole fruit). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.",An umami undercurrent complicates this otherwise juicy-sweet SL34 produced in Taiwan.,420.0,https://www.coffeereview.com/review/taiwan-nantou-yuchi-kanon-estate-sl34-natural/,58,74,TWD,113.398,grams,12.6
9,93,Small Eyes Cafe,Ethiopia Gediyo Yirgacheffe Burtukan Wako Natural G1,2023-08-01,"Richly sweet, crisply floral. Magnolia, cashew, maple syrup, dried nectarine, myrrh in aroma and cup. Sweetly tart structure with bright, juicy acidity; silky-smooth mouthfeel. The crisp finish highlights notes of almond and myrrh.",https://www.coffeereview.com/review/ethiopia-gediyo-yirgacheffe-burtukan-wako-natural-g1/,,"Yilan, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,9,9,8,9,8,"Richly sweet, crisply floral. Magnolia, cashew, maple syrup, dried nectarine, myrrh in aroma and cup. Sweetly tart structure with bright, juicy acidity; silky-smooth mouthfeel. The crisp finish highlights notes of almond and myrrh.","Produced by Burkutan Wako, from indigenous Ethiopian landrace varieties of Arabica long grown in the region, and processed by the natural method (dried in the whole fruit). Small Eyes Café is a small, family-owned coffee shop in Yilan, Taiwan, specializing in artisanally roasted specialty coffee and homemade desserts. Visit https://www.facebook.com/Smalleyescafe for more information.",A richly sweet natural-processed Ethiopia coffee with floral underpinnings supported by stone fruit and myrrh.,500.0,https://www.coffeereview.com/review/ethiopia-gediyo-yirgacheffe-burtukan-wako-natural-g1/,58,78,TWD,200.0,grams,15.0
